SAINT-ETIENNE-DU-BOIS,1370
CHEVRY,1170
DIVONNE-LES-BAINS,1220
PERON,1630
VALSERHONE,1200
CULOZ,1350
ST-GENIS-POUILLY,1630
OYONNAX,1100
ST-GERMAIN-DE-JOUX,1130
GEX,1170
AMBERIEU-EN-BUGEY,1500
CESSY,1170
SAULT-BRENAZ,1150
FERNEY-VOLTAIRE,1210
SEGNY,1170
LAGNIEU,1150
LE POIZAT-LALLEYRIAT,1130
BELLEY,1300
ORNEX,1210
DORTAN,1590
PREVESSIN-MOENS,1280
BRENOD,1110
SAINT-JEAN-LE-VIEUX,1640
NANTUA,1130
SAINT-DENIS-EN-BUGEY,1500
THOIRY,1710
BELLIGNAT,1100
PLATEAU D'HAUTEVILLE,1110
LELEX,1410
VESANCY,1170
IZERNORE,1580
ECHENEVEX,1170
VERSONNEX,1210
SAINT-VULBAS,1150
COLLONGES,1550
CHAMPAGNE-EN-VALROMEY,1260
JUJURIEUX,1640
MATAFELON-GRANGES,1580
HAUT-VALROMEY,1260
ARBENT,1100
LOYETTES,1360
MIJOUX,1410
SERGY,1630
FARGES,1550
CROZET,1170
VILLARS-LES-DOMBES,1330
MEXIMIEUX,1800
MONTCEAUX,1090
MONTLUEL,1120
JASSANS-RIOTTIER,1480
BEAUREGARD,1480
DAGNEUX,1120
MIONNAY,1390
VILLIEU-LOYES-MOLLON,1800
CHAUNY,2300
LAON,2000
LA FERE,2800
URCEL,2000
SAINT GOBAIN,2410
TERGNIER,2700
FOLEMBRAY,2670
SAINT QUENTIN,2100
SOISSONS,2200
COURMELLES,2200
VIC SUR AISNE,2290
VILLERS-COTTERETS,2600
LARGNY SUR AUTOMNE,2600
NANTEUIL LA FOSSE,2880
VAILLY-SUR-AISNE,2370
COEUVRES ET VALSERY,2600
BELLEU,2200
CHATEAU THIERRY,2400
FERE EN TARDENOIS,2130
MOULINS,3000
YZEURE,3400
CUSSET,3300
VICHY,3200
SISTERON,4200
RIEZ,4500
ENCHASTRAYES,4400
CHATEAU-ARNOUX-SAINT-AUBAN,4160
DIGNE-LES-BAINS,4000
MONTCLAR,4140
ALLOS,4260
CASTELLANE,4120
JAUSIERS,4850
LE LAUZET UBAYE,4340
SEYNE,4140
SAINTE CROIX DU VERDON,4500
FAUCON-DE-BARCELONNETTE,4400
BARCELONNETTE,4400
